Waterpoint,zebra,wildebeest,oryx,eland,elephant,impala,rhino,giraffe,kudu,springbok,time_range_days,RAI_zebra,RAI_wildebeest,RAI_oryx,RAI_eland,RAI_elephant,RAI_impala,RAI_rhino,RAI_giraffe,RAI_kudu,RAI_springbok,Woody.fraction,Herbaceous.fraction,Bare.fraction,Site,Area..ha.,Week,Grazing_units_absolute,Browsing_units_absolute,Grazing_percentage_zebra,Browsing_percentage_zebra,Grazing_percentage_wildebeest,Browsing_percentage_wildebeest,Grazing_percentage_oryx,Browsing_percentage_oryx,Grazing_percentage_eland,Browsing_percentage_eland,Grazing_percentage_elephant,Browsing_percentage_elephant,Grazing_percentage_impala,Browsing_percentage_impala,Grazing_percentage_rhino,Browsing_percentage_rhino,Grazing_percentage_giraffe,Browsing_percentage_giraffe,Grazing_percentage_kudu,Browsing_percentage_kudu,Grazing_percentage_springbok,Browsing_percentage_springbok,Grazing_units_per_1000ha,Browsing_units_per_1000ha
B5,2,5,6,4,12,26,25,4,16,1,10.08290509,0.198355532,0.495888829,0.595066595,0.396711063,1.19013319,2.578621911,2.479444145,0.396711063,1.586844253,0.099177766,0.51181304,0.39373097,0.094455875,B5,1813.113441,13,5.688836648,26.36938437,4.288702936,0.082744095,7.583682006,0.300887618,8.682008369,0.767263427,6.973500692,1.835414472,57.32217574,50.05265534,6.345885633,2.151346472,5.230125522,33.94388445,0.209205021,5.656687224,3.347280334,5.115089514,0.017433752,0.094027381,7.968909765,28.41604728
B7,3,4,10,13,17,36,2,1,39,0,10.07804398,0.297676812,0.396902416,0.992256039,1.28993285,1.686835266,3.57212174,0.198451208,0.099225604,3.869798551,0,0.64781314,0.19702637,0.15516056,B7,2105.926546,13,8.438145355,25.87902975,4.33913453,0.126528891,4.092191914,0.245389364,9.760112889,1.303630996,15.28692379,6.081055172,54.77422389,72.28633871,5.926622766,3.036693378,0.282220132,2.768298765,0.035277517,1.441662515,5.503292567,12.71040221,0,0,20.3366506,18.96946218
B14,3,8,2,1,12,14,2,4,6,0,10.07583333,0.297742122,0.793978993,0.198494748,0.099247374,1.190968489,1.389463237,0.198494748,0.396989496,0.595484244,0,0.39439645,0.39619225,0.20941132,B14,1196.438789,32,4.885948226,16.57728889,7.49542961,0.197569299,14.13772091,0.766329402,3.371927684,0.407112494,2.031281737,0.730407711,66.78854358,79.67431002,3.981312208,1.843980123,0.487507617,4.32257678,0.243753808,9.004370466,1.462522851,3.053343709,0,0,10.30747761,35.13096053
B11,2,15,3,0,4,34,22,9,1,0,10.06787037,0.198651743,1.489888074,0.297977615,0,0.397303487,3.377079635,2.185169176,0.893932845,0.099325872,0,0.4955634,0.39133173,0.11310486,B11,939.6447252,13,3.650225783,16.84467458,6.693877541,0.12972463,35.51020406,1.415177781,6.775510205,0.601450557,0,0,29.82312928,26.15720269,12.95238095,4.410637417,7.183673468,46.83059141,0.734693878,19.95400672,0.326530613,0.501208799,0,0,9.926839163,36.17426545
B3,36,2,18,1,8,62,15,17,15,0,10.03655093,3.586889586,0.199271644,1.793444793,0.099635822,0.797086575,6.177420954,1.494537328,1.693808971,1.494537328,0,0.5095692,0.35029477,0.14013608,B3,1480.765,13,9.631794898,24.39084919,45.80531705,1.617647058,1.799937936,0.130718954,15.45463949,2.499999999,1.03444709,0.498366014,22.67508018,36.24183007,8.979000723,5.571895424,1.862004759,22.12009804,0.527568015,26.1111111,1.862004759,5.208333334,0,0,18.56895365,32.32493128
B5,1,2,8,3,1,118,16,4,6,0,10.03167824,0.099684218,0.199368436,0.797473743,0.299052654,0.099684218,11.76273772,1.594947487,0.398736872,0.598105308,0,0.51181304,0.39373097,0.094455875,B5,1813.113441,5,3.452064468,12.13755038,3.551833672,0.090341656,5.024545194,0.262812089,19.17412646,2.233902758,8.663008956,3.005913273,7.912214846,9.108081475,47.70430263,21.32063075,5.544325728,47.43758212,0.346520358,12.3521682,2.079122149,4.188567676,0,0,4.835644254,13.07960779
B6,0,0,2,14,18,10,23,13,11,0,10.02288194,0,0,0.199543406,1.396803841,1.795890653,0.997717029,2.294749168,1.297032138,1.097488732,0,0.50493085,0.37326506,0.121804066,B6,1831.570135,5,7.068825153,36.00162129,0,0,0,0,2.342978124,0.188449174,19.76005645,4.733399844,69.61185604,55.32091786,1.976005645,0.609688504,3.895553988,23.01019843,0.550458715,13.54617005,1.863091037,2.591176144,0,0,10.33966212,38.9284041
B3,35,8,9,3,19,54,33,22,20,0,10.01939815,3.493223793,0.798451153,0.898257547,0.299419182,1.896321487,5.38954528,3.293611005,2.19574067,1.996127882,0,0.5095692,0.35029477,0.14013608,B3,1480.765,8,12.68738881,45.24124037,33.86563877,0.849345893,5.475141601,0.282379934,5.876337321,0.675064528,2.359974825,0.807430121,40.95342982,46.48459043,5.947136564,2.620838757,3.115166772,26.28118865,0.519194462,18.2488032,1.887979862,3.750358491,0,0,24.45977487,59.95773147
B10,8,3,5,3,19,22,15,7,12,0,10.01400463,0.798881196,0.299580449,0.499300748,0.299580449,1.897342842,2.19692329,1.497902243,0.699021047,1.198321795,0,0.42945632,0.3802739,0.19026981,B10,1033.385621,32,7.808065095,31.25023521,12.5847295,0.281204064,3.338022768,0.153384035,5.307584091,0.543235125,3.836807779,1.16955327,66.58140427,67.33239599,3.939122649,1.546622355,2.302084665,17.30363647,0.268576544,8.410557934,1.841667733,3.25941075,0,0,19.86938808,70.41608538
B1,2,1,16,6,5,40,11,22,35,0,9.998460648,0.200030792,0.100015396,1.600246334,0.600092375,0.500076979,4.000615836,1.100169355,2.20033871,3.500538856,0,0.6375721,0.23959127,0.12283663,B1,3170.345282,13,4.809740387,22.96053443,5.115408616,0.095831337,1.809107925,0.069695518,27.61488875,2.369647602,12.47660636,3.188569934,28.48825118,24.15385284,11.64483261,3.833253475,2.744853401,17.29755631,1.372426701,36.03258267,8.733624456,12.95901032,0,0,6.332046303,11.35915759
B7,1,0,3,9,19,23,1,1,2,0,9.996064815,0.100039367,0,0.300118102,0.900354306,1.90074798,2.300905449,0.100039367,0.100039367,0.200078735,0,0.64781314,0.19702637,0.15516056,B7,2105.926546,5,6.841692333,23.70432809,1.798508548,0.046423296,0,0,3.640883169,0.430470563,13.15981868,4.633889005,76.1222401,88.92593375,4.708290685,2.135471618,0.175464249,1.523528165,0.043866062,1.586832659,0.350928499,0.71745094,0,0,16.48906254,17.37539466
